Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
1999,F,SI,Coaching Gerencial,Ninguno,Ninguna,Ninguna,Ingenieria Industrial,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Posgrados,NO,NO,NO,NO,Ingenieria Industrial,NO,NO,Empresarial y personal,NO,NO,5.25,1,0,0,1,0,5.25,4.67,0,0,2
2001,M,SI,Ninguno,Ninguno,Administración Informatica,Ninguna,Gestión de la Tecnología Educativa,Ninguna,Ninguna,IEE El Carmen,Ninguna,Rector,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,8.33,7,8.33,7,0,0,0,0,0,0,2
2005,M,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Producción,Servicio al Cliente,NO,CEO,Gestión de Proyectos,NO,NO,NO,Seguridad y Salud en el Trabajo,NO,NO,NO,NO,NO,10.83,2.08,0,7.5,10.83,0,2.08,0,0,0,6
2003,F,SI,Pedagogía Universitaria,Ninguno,Logistica Empresarial,Ninguna,Administración de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Ventas,Jefe de Servicio de Desarrollo,SISBEN,Servicios y Alianza,NO,NO,NO,NO,NO,NO,NO,NO,Portuario,NO,13.83,0.75,11,4.67,13.83,0,0,0,0.75,0,5
2006,M,SI,Ninguno,Ninguno,Gestión de Calidad,Analista de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Agente de Servicio al Cliente,Especialista en Procesos,Gestión de Calidad,NO,NO,NO,Analista de Negocios,Procesos,NO,NO,NO,NO,NO,Servicio al Cliente,11,1.67,0,11,0,4.08,0,0,0,1.67,8
2005,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Inspector de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Casco y Estructura,NO,11.92,3,0,9,0,0,0,0,11.92,0,4
2000,M,SI,Ninguno,Ninguno,Gerencia Comercial de Proyectos,Ninguna,Administración y Direccion de Empresas,Ninguna,Aministración y Desarrollo empresarial,Ninguna,Ninguna,Administrador,Gerente,Angete Comercial,Innovación,NO,NO,Negocios,Gestión Empresarial,Datos y Aplicaciones,Distribución y Ventas,Distribución Cuentas Corporativas,Comercial,NO,NO,12.16,2,0,2,0,7. 67,12.16,4,0,0,10
2000,F,SI,Ninguno,Ninguno,Finanzas,Ninguna,Administración y Direccion de Empresas,Ninguna,Aministración y Desarrollo empresarial,Fundación Universitaria Conrad Lorenz,Ninguna,Administrador,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12.32,2,2,12.32,2.16,0,0,0,0,0,4
2002,M,SI,Ninguno,Ninguno,Producción,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,Planificador,Programador,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12.75,2.33,0,12.75,0,0,0,0,0,0,3
2005,M,SI,Ninguno,Ninguno,Gestión de Proyectos,Ninguna,Administración e Innovación,Ninguna,Ninguna,Ninguna,Ninguna,Estudiante de Practicas,Jefe de Producción,Jefe de Operaciones,Planta y Producción,NO,NO,NO,NO,Gestión de Proyectos,NO,NO,NO,NO,Producción,9,1,0,7,1,0,0,0,0,9,8
2007,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Logistica,NO,NO,NO,NO,NO,NO,NO,Logística,Almacen,NO,NO,NO,NO,16.16,1.08,0,1.08,0,0,16.16,0,0,0,4
