DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,OROCUE,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,700,0,0,0,0
ANTIOQUIA,SIBATE,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,JAMUNDI,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,MORELIA,01/05/19,COLAPSO ESTRUCTURAL,0,8,0,0,0,0,0,0,0
ANTIOQUIA,MONTERIA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0,0,0,0,0
ANTIOQUIA,AGUADAS,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,GIRON,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10,0,0,0,0
ANTIOQUIA,BARICHARA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,BOJACA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,CHOACHI,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,FOMEQUE,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15,0,0,0,0
ANTIOQUIA,QUETAME,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,UBALA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,GIRON,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,LEBRIJA,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,PUERTO WILCHES,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,16,0,0,0,0
ANTIOQUIA,BELLO,01/06/19,COLAPSO ESTRUCTURAL,0,0,3,1,0,0,0,0,0
ANTIOQUIA,SAN JERONIMO,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12,0,0,0,0
ANTIOQUIA,MANIZALES,01/06/19,ACCIDENTE TRANSPORTE TERRESTRE,0,4,0,0,0,0,0,0,0
ANTIOQUIA,CHIA,01/06/19,GRANIZADA,0,0,0,0,0,0,0,0,0
ANTIOQUIA,LA VEGA,01/06/19,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0,0,0,0,0
ANTIOQUIA,SAN ANTONIO DEL TEQUENDAMA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SILVANIA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,PAMPLONA,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20,0,0,0,0
ANTIOQUIA,VILLAVICENCIO,01/06/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
